2EvwLVrnYbCZEG6Kx5DCRy,1nZzRJbFvCEct3uzu04ZoL,Piece of Me,Part Of Me,0.51
7ElF5zxOwYP4qVSWVvse3W,3sP3c86WFjOzHHnbhhZcLA,Break Your Heart,Give Your Heart a Break,0.6
7g13jf3zqlP5S68Voo5v9m,2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own - Radio Edit,Dancing On My Own,0.54
2Xnv3GntqbBH1juvUYSpHG,54bFM56PmE4YLRnqpW6Tha,So Am I,Therefore I Am,0.51
0sf12qNH5qcw8qpgymFOqD,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,Blinding Lights,1.0
5HCyWlXZPP0y6Gqq8TgA20,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),STAY (with Justin Bieber),1.0
